method,n,stress,mismatch,action_criticality,clean_retention,success,success_ci95,utility,utility_ci95,deploy_utility,harmful_transfer_rate,harmful_transfer_rate_ci95,tactile_event_f1,tactile_event_f1_ci95,damage_rate,damage_rate_ci95,query_cost,query_cost_ci95,regret,regret_ci95,calibration_ece,risk_score
action_critical_tactile_transfer_guard_v5,2000,0.725,0.364395,0.70181,0.801008,0.747189,0.000437,0.63479,0.000636,0.63479,0.04418,0.00036,0.800275,0.000384,0.04124,0.000225,0.171349,0.000485,0.045577,0.000159,0.080989,0.049828
conformal_tactile_risk_control,2000,0.725,0.364395,0.70181,0.583329,0.609756,0.000501,0.443902,0.001131,0.443902,0.08469,0.000776,0.590948,0.00052,0.051656,0.000337,0.258441,0.000717,0.063447,0.000296,0.102985,0.073306
contrastive_tactile_pretraining,2000,0.725,0.364395,0.70181,0.801066,0.666603,0.000626,0.487411,0.001551,0.487411,0.121827,0.001033,0.577755,0.000502,0.079139,0.000672,0.112437,0.000359,0.071757,0.000368,0.150912,0.105834
domain_adversarial_tactile_transfer,2000,0.725,0.364395,0.70181,0.722413,0.634178,0.000586,0.45606,0.001451,0.45606,0.113251,0.000954,0.579047,0.000458,0.076143,0.000638,0.138515,0.00042,0.070388,0.000351,0.148434,0.101197
ensemble_disagreement_filter,2000,0.725,0.364395,0.70181,0.634545,0.620658,0.000525,0.447016,0.001252,0.447016,0.09453,0.000826,0.599711,0.000511,0.064014,0.000489,0.218194,0.00063,0.066345,0.000317,0.120835,0.08485
frozen_tactile_pretraining,2000,0.725,0.364395,0.70181,0.807906,0.628765,0.000811,0.437206,0.001954,0.437206,0.144427,0.001254,0.479182,0.000608,0.091477,0.000818,0.060373,0.00025,0.079144,0.000444,0.168883,0.12218
full_finetune_pretraining,2000,0.725,0.364395,0.70181,0.766433,0.649571,0.000662,0.464245,0.001641,0.464245,0.126825,0.00108,0.543214,0.000514,0.082982,0.000711,0.110737,0.000358,0.073815,0.000389,0.157204,0.110332
invariant_risk_tactile_alignment,2000,0.725,0.364395,0.70181,0.693915,0.63076,0.00056,0.459637,0.001358,0.459637,0.106254,0.000908,0.586155,0.000467,0.070262,0.000567,0.148574,0.000442,0.068195,0.00034,0.140056,0.094855
masked_autoencoder_tactile_pretraining,2000,0.725,0.364395,0.70181,0.785388,0.658344,0.000633,0.477647,0.001584,0.477647,0.123523,0.001056,0.566784,0.00051,0.080515,0.000693,0.108828,0.000352,0.072505,0.000378,0.153221,0.107424
no_tactile_policy,2000,0.725,0.364395,0.70181,0.132629,0.441821,0.000622,0.270677,0.001618,0.270677,0.124007,0.001075,0.251472,0.0006,0.086664,0.00078,0.033331,0.000197,0.075463,0.000421,0.164398,0.112233
oracle_contact_shift_feature_selector,2000,0.725,0.364395,0.70181,0.872635,0.834366,0.000488,0.754999,0.000534,0.754999,0.025166,0.000228,0.917248,0.000328,0.03235,0.000151,0.113547,0.00033,0.036532,0.000109,0.061942,0.035652
proposed_negative_transfer_guard_v4,2000,0.725,0.364395,0.70181,0.733779,0.700348,0.00046,0.553074,0.000958,0.553074,0.073577,0.000628,0.696275,0.000458,0.054574,0.000387,0.194152,0.000548,0.056895,0.000235,0.107166,0.070733
scratch_tactile_policy,2000,0.725,0.364395,0.70181,0.359591,0.507363,0.000566,0.335504,0.001461,0.335504,0.115892,0.000995,0.423208,0.00054,0.079396,0.000681,0.089565,0.000309,0.071362,0.000371,0.153452,0.104331
sensor_health_filter,2000,0.725,0.364395,0.70181,0.601587,0.61228,0.000513,0.45605,0.001107,0.45605,0.082536,0.000696,0.630431,0.000473,0.059231,0.000449,0.191885,0.000515,0.062137,0.000282,0.109663,0.076523
test_time_tactile_adaptation,2000,0.725,0.364395,0.70181,0.72527,0.65505,0.000507,0.4829,0.00124,0.4829,0.098267,0.000814,0.629615,0.000419,0.069672,0.000568,0.177953,0.000507,0.065764,0.000308,0.134822,0.090731
uncertainty_gated_transfer,2000,0.725,0.364395,0.70181,0.604635,0.598409,0.000572,0.411708,0.001389,0.411708,0.103002,0.000896,0.564376,0.000525,0.067948,0.000541,0.237388,0.000673,0.07005,0.000338,0.128565,0.090988
