method,split,seed,n,stress,mismatch,action_criticality,clean_retention,success,utility,deploy_utility,harmful_transfer_rate,tactile_event_f1,damage_rate,query_cost,regret,calibration_ece,risk_score
action_critical_tactile_transfer_guard_v5,clean_transfer,0,80,0.06,0.121263,0.54851,0.827777,0.78294,0.703345,0.703345,0.025144,0.816977,0.032997,0.107465,0.035693,0.07332,0.037855
action_critical_tactile_transfer_guard_v5,clean_transfer,1,80,0.06,0.121263,0.54851,0.827777,0.78403,0.704828,0.704828,0.024413,0.817035,0.032678,0.107963,0.035732,0.073738,0.037564
action_critical_tactile_transfer_guard_v5,clean_transfer,2,80,0.06,0.121263,0.54851,0.827777,0.783722,0.704731,0.704731,0.023979,0.816454,0.032861,0.107744,0.035534,0.073403,0.037406
action_critical_tactile_transfer_guard_v5,clean_transfer,3,80,0.06,0.121263,0.54851,0.827777,0.783756,0.704947,0.704947,0.024459,0.817594,0.032442,0.107355,0.035484,0.073522,0.037427
action_critical_tactile_transfer_guard_v5,clean_transfer,4,80,0.06,0.121263,0.54851,0.827777,0.783436,0.704987,0.704987,0.023944,0.817452,0.032151,0.108079,0.035451,0.073006,0.037044
action_critical_tactile_transfer_guard_v5,clean_transfer,5,80,0.06,0.121263,0.54851,0.827777,0.783055,0.703518,0.703518,0.024902,0.81603,0.032849,0.107768,0.036133,0.072927,0.037689
action_critical_tactile_transfer_guard_v5,clean_transfer,6,80,0.06,0.121263,0.54851,0.827777,0.78456,0.705817,0.705817,0.023585,0.81817,0.032591,0.10782,0.035711,0.073869,0.037271
action_critical_tactile_transfer_guard_v5,clean_transfer,7,80,0.06,0.121263,0.54851,0.827777,0.784215,0.70487,0.70487,0.024482,0.817538,0.032928,0.108006,0.035537,0.073575,0.037633
action_critical_tactile_transfer_guard_v5,clean_transfer,8,80,0.06,0.121263,0.54851,0.827777,0.784388,0.70513,0.70513,0.024601,0.817366,0.032542,0.107926,0.035945,0.073837,0.037616
action_critical_tactile_transfer_guard_v5,clean_transfer,9,80,0.06,0.121263,0.54851,0.827777,0.783901,0.704231,0.704231,0.025,0.815961,0.033154,0.107633,0.035634,0.073366,0.037868
action_critical_tactile_transfer_guard_v5,combined_stress,0,80,0.88,0.362293,0.75471,0.795838,0.732794,0.616848,0.616848,0.043483,0.799696,0.041982,0.185004,0.046084,0.082196,0.050141
action_critical_tactile_transfer_guard_v5,combined_stress,1,80,0.88,0.362293,0.75471,0.795838,0.733604,0.618527,0.618527,0.042658,0.801172,0.04157,0.185173,0.045578,0.081635,0.049553
action_critical_tactile_transfer_guard_v5,combined_stress,2,80,0.88,0.362293,0.75471,0.795838,0.73351,0.618415,0.618415,0.042054,0.80117,0.041664,0.185618,0.045791,0.082079,0.049484
action_critical_tactile_transfer_guard_v5,combined_stress,3,80,0.88,0.362293,0.75471,0.795838,0.733208,0.617956,0.617956,0.042816,0.800737,0.041314,0.185236,0.046133,0.082489,0.049718
action_critical_tactile_transfer_guard_v5,combined_stress,4,80,0.88,0.362293,0.75471,0.795838,0.734659,0.618949,0.618949,0.043214,0.800702,0.041973,0.18505,0.045917,0.081665,0.049934
action_critical_tactile_transfer_guard_v5,combined_stress,5,80,0.88,0.362293,0.75471,0.795838,0.734103,0.61864,0.61864,0.043916,0.801243,0.041339,0.184683,0.045822,0.081806,0.049947
action_critical_tactile_transfer_guard_v5,combined_stress,6,80,0.88,0.362293,0.75471,0.795838,0.733461,0.618346,0.618346,0.04349,0.801304,0.041097,0.185079,0.045643,0.081748,0.049682
action_critical_tactile_transfer_guard_v5,combined_stress,7,80,0.88,0.362293,0.75471,0.795838,0.733037,0.61772,0.61772,0.042773,0.801255,0.041889,0.184695,0.045725,0.081723,0.049743
action_critical_tactile_transfer_guard_v5,combined_stress,8,80,0.88,0.362293,0.75471,0.795838,0.733326,0.618278,0.618278,0.042136,0.800833,0.041577,0.185239,0.045925,0.082261,0.049525
action_critical_tactile_transfer_guard_v5,combined_stress,9,80,0.88,0.362293,0.75471,0.795838,0.733423,0.618037,0.618037,0.043175,0.80045,0.041544,0.185011,0.045645,0.082549,0.04989
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,0,80,0.58,0.26869,0.66551,0.807622,0.75047,0.648205,0.648205,0.035165,0.807548,0.039999,0.155723,0.041639,0.07715,0.045206
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,1,80,0.58,0.26869,0.66551,0.807622,0.749658,0.647576,0.647576,0.034462,0.808845,0.040113,0.155454,0.041986,0.077131,0.045042
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,2,80,0.58,0.26869,0.66551,0.807622,0.750347,0.648491,0.648491,0.034867,0.808172,0.03946,0.155909,0.041892,0.077165,0.044928
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,3,80,0.58,0.26869,0.66551,0.807622,0.750403,0.648741,0.648741,0.033506,0.806846,0.040333,0.155312,0.041578,0.077197,0.044772
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,4,80,0.58,0.26869,0.66551,0.807622,0.750701,0.648421,0.648421,0.034395,0.807928,0.040539,0.155245,0.041672,0.077624,0.045238
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,5,80,0.58,0.26869,0.66551,0.807622,0.750584,0.649652,0.649652,0.034117,0.809387,0.038972,0.155644,0.041498,0.076829,0.044388
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,6,80,0.58,0.26869,0.66551,0.807622,0.750135,0.648929,0.648929,0.033793,0.808192,0.039316,0.155898,0.041711,0.077168,0.044491
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,7,80,0.58,0.26869,0.66551,0.807622,0.750724,0.650097,0.650097,0.033636,0.809453,0.038958,0.155719,0.041241,0.076725,0.044175
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,8,80,0.58,0.26869,0.66551,0.807622,0.749479,0.648323,0.648323,0.033902,0.808046,0.039475,0.155759,0.041109,0.077217,0.044537
action_critical_tactile_transfer_guard_v5,friction_compliance_shift,9,80,0.58,0.26869,0.66551,0.807622,0.750031,0.648596,0.648596,0.033938,0.808464,0.039729,0.155477,0.041479,0.077383,0.044713
action_critical_tactile_transfer_guard_v5,heldout_geometry,0,80,0.48,0.23744,0.65071,0.811551,0.756348,0.661077,0.661077,0.03169,0.810247,0.036015,0.146599,0.040475,0.076301,0.042242
action_critical_tactile_transfer_guard_v5,heldout_geometry,1,80,0.48,0.23744,0.65071,0.811551,0.75717,0.661875,0.661875,0.031994,0.810904,0.036117,0.145958,0.040499,0.075842,0.042304
action_critical_tactile_transfer_guard_v5,heldout_geometry,2,80,0.48,0.23744,0.65071,0.811551,0.755958,0.660958,0.660958,0.031617,0.809716,0.035739,0.146526,0.040428,0.076273,0.042102
action_critical_tactile_transfer_guard_v5,heldout_geometry,3,80,0.48,0.23744,0.65071,0.811551,0.755867,0.660503,0.660503,0.032772,0.810103,0.035565,0.146093,0.040791,0.075866,0.042392
action_critical_tactile_transfer_guard_v5,heldout_geometry,4,80,0.48,0.23744,0.65071,0.811551,0.756046,0.6607,0.6607,0.032055,0.809835,0.036158,0.146111,0.040149,0.076433,0.042412
action_critical_tactile_transfer_guard_v5,heldout_geometry,5,80,0.48,0.23744,0.65071,0.811551,0.756212,0.660302,0.660302,0.032777,0.810755,0.036156,0.146815,0.040348,0.076629,0.042711
action_critical_tactile_transfer_guard_v5,heldout_geometry,6,80,0.48,0.23744,0.65071,0.811551,0.755761,0.660621,0.660621,0.032297,0.809391,0.035666,0.146131,0.040319,0.07635,0.042309
action_critical_tactile_transfer_guard_v5,heldout_geometry,7,80,0.48,0.23744,0.65071,0.811551,0.756525,0.661373,0.661373,0.032068,0.809091,0.035647,0.146115,0.04061,0.076688,0.042314
action_critical_tactile_transfer_guard_v5,heldout_geometry,8,80,0.48,0.23744,0.65071,0.811551,0.756124,0.661293,0.661293,0.030798,0.809794,0.036107,0.146404,0.040274,0.076302,0.041954
action_critical_tactile_transfer_guard_v5,heldout_geometry,9,80,0.48,0.23744,0.65071,0.811551,0.757771,0.66252,0.66252,0.03221,0.810921,0.035915,0.14606,0.040071,0.076862,0.042441
